"Country","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999"
"KAZAKHSTAN",1957.422987,1829.3171,1863.563248,1859.555786,1965.877634,1965.466827,1879.225136,1697.516454,1750.679411,1719.022647,1657.654933,1605.00361,1636.886285,1608.09836,1540.768759,1430.716317,1420.383077,1366.632663,1297.012542,1247.088393,1064.826033,975.9779562,822.2519836,717.7861612,612.6549945
"MALAYSIA",597.1912496,602.6175687,608.6511466,655.542492,711.4266623,753.6529097,754.2847926,756.8867262,724.4397822,670.8242425,644.5055205,672.5986093,667.4353411,731.371574,718.0353096,759.3989809,751.7960932,749.6182192,790.8508356,803.5842295,832.9543233,804.4620849,756.149263,711.2865246,731.837
"MEXICO",2119.326228,2030.006079,1969.014066,1946.186339,1918.370701,2074.197923,2245.236012,2478.10068,2615.571618,2813.745173,2907.736407,2934.982157,2955.386274,2974.818644,2996.855584,3185.621225,3506.83966,3716.271151,3789.621162,3857.691757,3796.948244,3592.43317,3565.17891,3452.022484,3368.603575
"MOROCCO",0.025,0.025,0.025,0.05,0.07,0.1,0.025,0.16,0.5586,0.0836,-0.526,-0.781,-1.55,-0.613,-0.48,-0.566,-1.342,-1.247,-1.05,3.89,0.236,0.13,0.216,0.279,0.258
"NETHERLANDS",85.46983646,88.15173709,91.85766304,90.77545185,71.46230758,65.57215381,66.79251454,62.12827416,85.84010959,90.76992055,78.51276575,83.55896776,68.00412603,60.35758904,61.08569452,68.70740328,86.27229315,74.56816986,81.52674521,93.92238525,62.48652603,62.93424658,47.40273973,48.51147541,52.29150685
"POLAND",33.48917769,32.98115519,35.82006107,38.88022732,40.31052329,41.21045479,31.69176712,50.84192514,51.67663836,53.55613425,52.91005753,43.14313934,36.07487123,37.64778904,33.04660548,35.96833497,32.149,31.84801644,33.15803288,34.88394536,16.2163726,16.49855616,17.39451781,14.53281421,9.345380822
"PORTUGAL",12.36219226,12.25747398,12.31683968,11.9508,11.176501,11.49170471,11.5062148,10.57999178,10.8307,11.0044,10.9772,8.6861,10.8888,10.1438,4.8217,7.323098361,5.494605479,5.252657534,4.052,3.849,NA,NA,NA,NA,NA
"ROMANIA",77.48181215,80.14514128,84.27429201,86.06787268,88.36667808,88.44007397,89.43476164,93.41093607,99.72509452,102.3820712,102.5685247,100.3993863,104.4472397,104.745863,111.0113041,116.4718066,119.8139562,117.4862411,124.6364274,129.6289016,123.3780822,127.6180082,131.1437836,131.2336175,133.0491644
"RUSSIA",10754.23159,10973.75687,10776.71789,10495.99738,11473.70715,11384.51933,11230.70862,11244.6453,11034.93989,10853.31777,10765.58755,10596.19849,10408.9233,10288.29318,10047.46384,9874.280672,10037.74336,9733.762647,9646.974608,9386.922847,8581.191011,7741.053973,7060.512216,6526.82909,6098.556438
"SERBIA",15.01653831,15.9315541,16.98580332,17.93585683,18.7282,18.704,19.6839,22.6169,22.99586712,19.39345616,19.99129041,18.06906776,19.64022192,22.0376,19.7901,18.4502,16.857,16.948,NA,NA,NA,NA,NA,NA,NA
"SLOVAKIA",9.477128177,6.994264655,6.362793499,5.908251913,5.751160274,6.582420548,9.46889726,11.8556,11.7328,10.6264,10.9507,8.9624,9.9877,12.135,7.054424658,10.50206885,7.484356164,8.030276712,8.19969863,10.98956557,5.978405479,6.466271233,1.266260274,1.169628415,1.328838356
"SLOVENIA",0,0,0.004958904,0,0,0,0,0.005,0.005,0.005,0.035,0.025,0.015,0.375,0.145,0.165,0.105,0.105,0.105,0.006,NA,NA,NA,NA,NA
"SOUTH AFRICA",108.6084512,110.3739352,117.6615291,100.3847022,117.5916822,114.8799562,119.3687178,115.5072,120.8933,161.0005,177.8341219,177.5768683,179.4813,178.2618507,180.7872,193.1401667,214.1156685,220.084263,223.2924877,234.1745,191.9303096,205.8573973,194,199,199
"SOUTH KOREA",108.9481652,108.238793,108.1516268,99.00579071,96.89979452,93.58673699,88.31667808,89.905,90.9555,81.0593,71.5391,70.9583,58.6685,59.2443,49.81304384,40.54266885,29.45200548,20.39567671,16.87824932,16.97824317,10.13697534,10.60544658,11.61633973,13.00002186,8.660389041
"SPAIN",76.91276342,76.19299686,76.70292668,74.60522787,76.43326712,76.44153425,76.81724932,60.42126667,62.52895479,64.23621507,64.8023863,47.93823224,47.44892329,50.44230274,26.1000863,26.54206667,28.35773973,38.10426027,37.84040274,37.14136612,6.597260274,6.410958904,6.931506849,4.666666667,5.997260274
"SWEDEN",13.36582846,13.29855652,13.3366516,13.1019,13.2469,14.5223,16.5955,12.5772,12.6139,11.5354,8.8059,10.253,10.3305,10.3125,10.5588,8.9956,7.272,5.27,3.95,4.608,NA,NA,NA,NA,NA
"TAIWAN",25.38270127,24.81791608,25.15603805,23.0721,24.3594,24.0301,23.7574,22.2658,23.6072,25.4352,25.8934,22.6993,20.1726,23.6187,24.7877,15.5049,26.283,20.704,15.71919452,10.56285519,0.788558904,0.882309589,1,1,1
"THAILAND",411.19678,420.9598678,460.5980474,488.6319186,525.0202082,519.5000699,536.3401732,524.6818902,514.380763,493.0398425,492.7751836,485.4705628,445.0469096,420.153663,410.7629836,387.1779623,360.5519534,342.8583233,308.6528411,273.5348415,255.3222986,222.5673041,205.9136712,194.0845929,156.8835973
"UKRAINE",7.245311526,18.31768793,61.54828776,61.17640765,62.04572192,58.38224247,55.81188219,56.56303716,59.9418137,64.75313562,73.53974247,79.82397213,78.42943562,82.40674247,92.63980411,99.08491148,106.422,105.937,97.962,95.406,86.612,82.859,82.123,81.559,83.90251233
"UNITED KINGDOM",798.0456567,883.0001327,936.5680301,1098.479269,1180.093947,1155.071898,1053.258236,1066.117869,1009.158893,910.3523575,921.9277836,998.7935022,1159.027162,1403.547026,1501.512371,1588.066717,1721.902614,1730.464995,1902.43734,2104.998451,2279.138992,2482.390093,2493.054751,2694.430762,2929.342477
"UZBEKISTAN",65.67450766,62.11648328,37.52346047,39.18530546,41.33179863,44.15024932,47.24702329,54.08426831,61.33960685,65.63272192,71.2992,67.66929508,59.88322192,54.33100959,72.13686712,109.8979027,145.495,156.658137,165.8042466,164.351,175.608,165.512,167.717,174.648,188.5256438
