,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,6,9,11,13,16,19,17,17,13,13,12,12,16,20,23,26,26,26,30,38,51.131,54.796,66.04,68.074,60.895,54.186,53.606,53.095,52.774,48.638,58.755,59.719,59.615,57.855,58.56,53.763,48.376,47.008,45.99,40.969,39.46830055,36.8296815,34.59971718,32.60660449,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,6,9,11,13,16,19,20,20,17,17,16,16,18,20,23,26,26,26,30,38,51.131,54.796,66.04,68.074,60.612,53.8,53.5,52.4,54.546,50.535,60.251,61.148,61.302,58.988,59.943,55.24,49.809,48.5,47.5,42.5,40.91530055,38.41232877,36.16027397,34.20389781,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,14,15,17,16,13,13,12,9,16,20,23,26,26,26,30,38,51.131,54.796,66.04,68.074,59.612,51,51,51,52.246,48.235,53,53,52,51,51,49,46,44,43,38,36.41530055,33.91232877,32.07945205,30.42958822,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,2,2,2,3,4,3,4,4,2,4,4,4,4,4,3.580821918,3.274309589,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8,0.5,0.4,0.3,0.3,5.251,5.148,5.302,4.988,4.943,2.24,1.809,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-2.1,-1.9,-2,-0.8,0.2,0.8,0.8,0.777990941,0.462379944,0.248103742,0.108395016,0.283,0.386,0.106,0.695,-1.772,-1.897,-1.496,-1.429,-1.687,-1.133,-1.383,-1.477,-1.433,-1.492,-1.51,-1.531,-1.447,-1.582647262,-1.560556797,-1.597293318,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0.019478958,-0.014733574,-0.011273702,0.022656951,0.046594227,-0.034491628,-0.1,,,,,,,,,,,,-0.073,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0,0.01,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0,0.01,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0,0.01,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.2,-0.1,-0.2,,-0.3,-0.3,-0.4,-0.364030345,-0.35683596,-0.258762478,-0.191359224,-0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,5.323126027,5.531747945,4.96997541,9.096054795,8.813953425,7.978284932,7.537986339,7.194528767,8.334345205,9.391909589,17.22988251,17.66733973,13.12536712,13.46951781,11.45446831,9.866409589,15.13348082,15.57843151,15.9663,13.6034,16.8684,16.11971644,14.20323333,11.8499411,10.62148767,9.575063014,10.15842295,10.46574385,9.023746551,9.070515524,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,5.323126027,5.531747945,4.96997541,9.096054795,8.813953425,7.978284932,7.537986339,7.194528767,8.334345205,9.391909589,11.38788251,11.63833973,6.537367123,7.139517808,7.412568306,6.504109589,11.58078082,12.42793151,12.635,10.753,13.522,11.90461644,10.80633333,7.304041096,6.135687671,4.827063014,5.670122951,5.557041096,4.183216438,4.108838356,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,2.572610959,2.953663014,3.046614754,3.276942466,3.597394521,3.674035616,3.508008197,3.676690411,5.323287671,6.367178082,6.133724044,6.290394521,5.326005479,4.939846575,4.915300546,4.252054795,3.591780822,3.084931507,3,3,3,2.835616438,2.333333333,2.169849315,2.205449315,1.625367123,1.842672131,1.686808219,1.526287671,1.385778082,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,2.750515068,2.578084932,1.923360656,5.819112329,5.216558904,4.304249315,4.029978142,3.517838356,3.011057534,3.024731507,5.25415847,5.347945205,1.211361644,2.199671233,2.49726776,2.252054795,7.989,9.343,9.635,7.753,10.522,9.069,8.473,5.134191781,3.930238356,3.20169589,3.82745082,3.870232877,2.656928767,2.723060274,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,0.326,0.3,0.9,1,1.1,0.8,1.1,1.595759563,2.07559726,4.206854795,5.671915068,5.842,6.029,6.588,6.33,4.0419,3.3623,3.5527,3.1505,3.3313,2.8504,3.3464,4.2151,3.3969,4.5459,4.4858,4.748,4.4883,4.908702757,4.840530113,4.961677168,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,5.3,15,34,44,46,58,76,97,99,117,121,144,163,167.5369863,184.9489863,186.0030822,207.8164536,230.3291808,237.859337,299.8827726,363.0328716,347.9965945,370.7806411,374.3164712,418.2434727,391.7668685,352.3964548,320.9687397,290.379888,263.9536849,248.9426301,224.6700452,205.5172831,179.5596671,169.1641123,161.5371753,142.364012,142.5558411,119.9801946,107.1593252,76.52829436,69.46091961,70.13602235,65.03001449,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,6,15,35,45,46,58,76,97,99,117,121,143,163,167.5369863,184.9489863,186.0030822,207.8164536,230.3291808,237.859337,299.8827726,363.0328716,347.9965945,370.7806411,374.3164712,415.9454727,389.5288685,350.0444548,318.6447397,288.312888,261.6806849,246.9854301,222.8473452,203.8301831,177.6061671,167.5217123,159.5885753,140.806612,140.6855411,118.3665946,105.2117252,74.68719436,67.44740867,68.15043761,62.99398199,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,46,59.09041096,74.31506849,92.56712329,96.07923497,110.7479452,121.6630137,142.3945205,156.8032787,167.5369863,184.9489863,186.0030822,207.8164536,230.3291808,237.859337,299.8827726,363.0328716,347.9965945,370.7806411,374.3164712,414.6454727,388.1288685,348.6444548,317.2447397,286.512888,259.9806849,245.3594301,221.1463452,202.2461831,175.4011671,165.2497123,156.3165753,140.636612,137.0939548,115.2607288,102.0670293,71.41231184,64.12427717,64.7905198,59.44336829,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.4,1.4,1.4,1.8,1.7,1.626,1.701,1.584,2.205,2.272,3.272,0.17,3.591586301,3.105865753,3.14469589,3.274882514,3.323131507,3.359917808,3.550613699,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0.228,0.6,1.2,2.1,2.8,2.3,2.4,2.244844262,2.296843836,1.890715068,2.482649315,2.298,2.238,2.352,2.324,2.067,2.273,1.9572,1.8227,1.6871,1.9535,1.6424,1.9486,1.5574,1.8703,1.6136,1.9476,1.8411,2.01351094,1.98558474,2.036032505,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,1,1,1,1,1,1,-0.2,0.043513383,0.037153263,0.090471067,-0.1,-0.2,-0.9,,,,,,,,,,,,-0.449,-0.389,-0.309,-0.392,-0.255,0.03028,-0.0348,-0.0851,-0.0834,-0.0868,-0.0296,-0.0899,-0.0872,-0.0909,-0.0919,-0.0932,-0.0881,-0.096354854,-0.095013859,-0.097246977,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.5,-0.4,-1,-0.9,-1,-1,-0.4,-0.154269661,-0.094726503,-0.067024884,0.011947239,-0.449,-0.389,-0.309,-0.392,-0.255,0.03028,-0.0348,-0.0851,-0.0834,-0.0868,-0.0296,-0.0899,-0.0872,-0.0909,-0.0919,-0.0932,-0.0881,-0.096354854,-0.095013859,-0.097246977,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),208.7808219,177.0410959,160.8575342,187.5273224,183.3998932,201.7890411,214.0684932,204.1530055,211.1643836,210.8630137,237.1232877,257.9234973,281.2438356,293.2739726,174.0958904,302.1530055,278.7972603,285.0410959,299.0657534,320.9995492,341.6547945,379.2246575,384,382.8360656,391.1135507,378.1418685,375.7486986,404.1540683,432.7901205,393.8910137,422.6574603,526.7708825,534.6720192,538.7035918,505.6884712,507.7577022,488.5091973,489.1028767,502.1340219,507.6430792,531.0234082,561.5420575,548.3688411,552.4072295,535.9282877,522.2432662,536.3766894,484.8638239,475.6496459,483.768067,478.0209227,
"            Crude oil, NGPL, and other liquids (Mb/d)",208.7808219,177.0410959,160.8575342,187.5273224,183.3998932,201.7890411,214.0684932,204.1530055,211.1643836,210.8630137,237.1232877,257.9234973,281.2438356,293.2739726,174.0958904,302.1530055,278.7972603,285.0410959,299.0657534,320.9995492,341.6547945,379.2246575,384,382.8360656,391.1135507,378.1418685,375.7486986,404.1540683,432.7901205,393.8910137,422.6574603,528.0098825,535.8930192,539.9945918,507.3864712,508.7277022,489.6201973,490.2868767,503.6130219,508.6920792,532.9874082,563.4160575,550.5448411,554.5172295,538.1262877,524.4672662,538.6316894,486.9958239,477.9811688,486.0673808,480.3743638,
                Crude oil including lease condensate (Mb/d),208.7808219,177.0410959,160.8575342,187.5273224,183.3998932,201.7890411,214.0684932,204.1530055,211.1643836,210.8630137,237.1232877,257.9234973,281.2438356,293.2739726,174.0958904,302.1530055,278.7972603,285.0410959,299.0657534,318.5300546,337.6547945,376.2246575,381,379.8360656,388.1135507,375.1418685,372.7486986,401.1540683,429.7901205,391.8910137,420.6574603,526.0098825,531.8930192,535.9945918,504.0864712,504.7277022,485.6201973,486.0868767,499.5130219,503.5920792,526.1124082,556.3580575,543.0948411,547.9262295,531.3232877,517.2052662,531.0066894,479.3708239,472.8811688,480.9673808,475.2743638,
                NGPL (Mb/d),,,,,,,,,,,,1,2,2,1,1,1,2,3,3,4,3,3,3,3,3,3,3,3,2,2,2,4,4,3,4,4,4,4,5,6,6,7,6,6,6,6,6,5,5,5,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.3,0,0,0.2,0.1,0.1,0.875,1.058,0.45,0.591,0.803,1.262,1.625,1.625,0.1,0.1,0.1,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,1,2,0.8,-2.1,-1.9,-2.8,-2.6,-1.909394539,-2.472253557,-2.310407821,-1.971929287,-1.239,-1.221,-1.291,-1.698,-0.97,-1.111,-1.184,-1.479,-1.049,-1.964,-1.874,-2.176,-2.11,-2.198,-2.224,-2.255,-2.132,-2.331522978,-2.299313816,-2.353441183,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),164.9999808,149.9999288,235.0000466,330.0000519,414.9999699,485.0002712,524.9999808,594.9997377,597.9997589,670.0000986,727.0287699,821.9999016,887.000063,813.000126,896.0000082,848.0000601,865.0003315,873.000726,874.0011233,881.218847,959.5616438,931,933,913,878,857,838,711.2113525,701.3217205,697.9362767,714.5203178,740.2960328,641.6489753,641.0235726,658.078863,668.9829071,680.2043288,694.9824247,702.2116438,704.8338197,707.3573836,707.0174521,717.4431644,685.4975137,711.5735258,729.812823,716.8338123,681.5823172,659.8219063,666.6487442,666.3163873,
"            Crude oil, NGPL, and other liquids (Mb/d)",164.9999808,149.9999288,235.0000466,330.0000519,414.9999699,485.0002712,524.9999808,594.9997377,597.9997589,670.0000986,727.0287699,821.9999016,887.000063,813.000126,896.0000082,848.0000601,865.0003315,873.000726,874.0011233,881.218847,959.5616438,931,933,913,878,857,838,711.2113525,701.3217205,697.9362767,714.5203178,748.3340328,648.5959753,644.2465726,663.458863,671.3989071,682.7123288,697.6154247,704.3096438,708.8128197,708.5393836,708.4514521,718.3561644,686.3825137,712.4955258,730.745823,717.7798123,682.4763172,660.799969,667.612903,667.303243,
                Crude oil including lease condensate (Mb/d),164.9999808,149.9999288,235.0000466,330.0000519,414.9999699,485.0002712,524.9999808,594.6092896,598.4246575,669.9863014,727.3369863,822.057377,887.2465753,813.1506849,896.2383562,847.9781421,864.8383562,872.6575342,874.2246575,881.0655738,904.5616438,909,910,875,852,835,816,689.2113525,670.3217205,666.9362767,685.5203178,717.3340328,617.5959753,613.2465726,628.458863,633.3989071,648.7123288,636.3315068,637.4438356,641.6229508,644.9205479,645.1123288,682.3561644,651.3825137,626.8630137,638.8493151,622.6410959,586.7349727,560.942415,567.6520548,564.2465753,
                NGPL (Mb/d),,,,,,,,,,,,16,19,23,28,37,41,42,43,46,55,22,23,38,26,22,22,22,31,31,29,31,31,31,35,38,34,60.42191781,65.91780822,66.32786885,62.84383562,63.16712329,36,35,85.63251205,91.89650795,95.13871644,95.74134454,99.85755397,99.96084822,103.0566677,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.862,0.948,0.862,0.775,0.172,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-9.9,-10,-9.5,-9,-9.7,-9.5,-9,-10.10266207,-10.33751587,-8.435308673,-5.555619642,-8.038,-6.947,-3.223,-5.38,-2.416,-2.508,-2.633,-2.098,-3.979,-1.182,-1.434,-0.913,-0.885,-0.922,-0.933,-0.946,-0.894,-0.978062637,-0.964158795,-0.986855677,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0.00263546,-0.047689205,-0.055283356,0.01508158,-0.061505171,-0.1,-0.043107022,,,,,,,,,,,,-0.204,0.966,5.308,4.297,4.197,1.823,-0.442,-0.305,-0.254,0.003,0.003,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0.35,1.54,5.78,4.74,4.555,2.15,0,0.003,0.003,0.003,0.003,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1.54,5.78,4.74,4.555,2.15,0,0.003,0.003,0.003,0.003,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.017,,,-0.1,-0.3,-0.5,-0.6,-0.591263548,-0.669295753,-0.57776511,-0.505889806,-0.554,-0.574,-0.472,-0.443,-0.358,-0.327,-0.442,-0.308,-0.257,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,,4.671232877,7.756164384,17.67759563,59.77808219,81.52054795,102.3260274,117.6038251,193.9205479,230.2465753,265.9972603,374.6748634,380.1807096,375.7621315,363.257463,359.203153,346.0160685,322.7103836,298.8880329,310.4,290.7972603,278,268,244,202.7787671,184.9843836,166.7671233,157.5628415,142.5616438,128.3835616,97.53792433,
"            Crude oil, NGPL, and other liquids (Mb/d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,,4.671232877,7.756164384,17.67759563,59.77808219,81.52054795,102.3260274,117.6038251,193.9205479,230.2465753,265.9972603,374.6748634,380.1807096,375.7621315,363.257463,359.203153,346.0160685,322.7103836,298.8880329,310.4,290.7972603,278,268,244,202.7787671,184.9843836,166.7671233,157.5628415,142.5616438,128.3835616,97.53792433,
                Crude oil including lease condensate (Mb/d),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,11.67759563,50.77808219,72.52054795,93.3260274,108.6038251,179.6438356,214.2465753,240.5479452,326.2923497,360.4972712,347.4995041,335.2560082,336.8344372,321.9787288,297.7807397,278.3880329,289.4,269.7972603,260,250,227,184.3287671,172.2328767,155.7671233,147.5628415,132.5616438,118.3835616,88.12642871,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,4.671232877,7.756164384,6,9,9,9,9,14.27671233,16,25.44931507,48.38251366,19.68343836,28.2626274,28.00145479,22.36871585,24.03733973,24.92964384,20.5,21,21,18,18,17,18.45,12.75150685,11,10,10,10,9.411495623,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,-0.3,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,-0.08259328,5.090410959,5.753526027,5.983583562,6.71313388,7.153610959,4.276709589,3.011008219,4.685806011,5.024665753,5.542539726,6.09870137,6.532748634,4.794539726,8.361605479,8.150750685,7.6,9,10,11,11,13,13,16,14,18.39184658,21.55610137,22.59188767,22.91243443,21.84374247,21.21090685,23.74243562,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,5.090410959,5.753526027,5.983583562,6.71313388,7.153610959,4.276709589,3.011008219,4.685806011,5.024665753,5.542539726,6.09870137,6.502748634,4.794539726,8.361605479,8.150750685,7.6,9,10,11,11,13,13,16,14,18.39184658,21.55610137,22.59188767,22.91243443,21.84374247,21.21090685,23.74243562,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,5.256830601,5.090410959,5.753526027,5.983583562,6.71313388,7.153610959,4.276709589,3.011008219,4.685806011,5.024665753,5.542539726,6.09870137,6.502748634,4.794539726,8.361605479,8.150750685,7.6,9,10,11,11,13,13,16,14,18.39184658,21.55610137,22.59188767,22.91243443,21.84374247,21.21090685,23.74243562,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,-0.066,,0,0,0,0,0,0,0.033617438,0.030404007,0.037964572,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0.431,0.551,0.827,0.827,0.775,0.81,0.775,0,0,0,0,0,0,0,
