,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,54,50,45,40,30,30,20,16.48767123,12,11,10,9,9,7.150391781,7.489890411,6.460230137,5.716,5.624,7.106,6.781,7.574,7,9,10,6,5.328767123,10.84383562,15.51506849,16.83606557,17.00821918,20.50684932,20.16164384,22.74863388,17,16,18,17.26142896,16.09321096,15.0032137,13.98678082,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.1,,-0.1,0.1,0.1,0.1,,0.004099306,0.04203869,-0.038660606,0.005138204,0.006,-0.015,0.072,0.082,0.03453,0.05364,0.02293,0.04745,0.008905,0.006202,0.06236,0.0535,0.05189,0.05404,0.05469,0.05546,0.05243,0.057342213,0.05654457,0.057945933,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),1096.90137,1008.860274,982.9972603,1075.259563,1151.849315,1231.052055,1224.167123,1105.907104,1002.032877,986.630137,961.260274,1014.440325,1036.071233,1072,1071.320548,1045,1105.586301,1180.068493,1170,1201.612022,1310.164384,1286.287671,1301.369863,1396.734973,1430.191781,1431.041096,1376.958904,1435.587432,1507.479452,1623.835616,1789.890411,1856.934792,1930.027384,1917.468014,1942.263521,1954.481,1909.823112,1880.8924,1862.5645,1875.039769,1762.789322,1721.8256,1798.1049,1698.432256,1632.869525,1576.786934,1570.104304,1404.306744,1415.129339,1473.030681,1444.291046,
"            Crude oil, NGPL, and other liquids (Mb/d)",1096.90137,1008.860274,982.9972603,1075.259563,1151.849315,1231.052055,1224.167123,1105.907104,1002.032877,986.630137,961.260274,1014.440325,1036.071233,1072,1071.320548,1045,1105.586301,1180.068493,1170,1201.612022,1310.164384,1286.287671,1301.369863,1396.734973,1430.191781,1431.041096,1376.958904,1435.587432,1507.479452,1623.835616,1789.890411,1859.185792,1930.564384,1919.043014,1943.115521,1955,1909.876712,1880,1862,1874.243169,1761.780822,1720,1797,1697.360656,1631.753425,1575.657534,1568.958904,1403.224044,1413.945205,1471.863014,1443.09589,
                Crude oil including lease condensate (Mb/d),1096.90137,1008.860274,982.9972603,1075.259563,1151.849315,1231.052055,1224.167123,1105.907104,1002.032877,986.630137,961.260274,1014.439891,1036.071233,1072,1071.320548,1045,1105.586301,1180.068493,1170,744.9590164,740.1643836,746.2876712,763.3972603,818.3879781,849.3424658,821.4109589,756.9589041,805.5874317,867.4794521,975.5890411,1501.890411,1579.185792,1649.564384,1656.043014,1668.115521,1705,1584.876712,1540,1540,1532.243169,1461.780822,1420,1429,1348.360656,1301.753425,1258.657534,1258.958904,1122.431694,1133.945205,1211.863014,1183.09589,
                NGPL (Mb/d),,,,,,,,,,,,420,387,469,535,557,553,583,576,571,570,540,537.9726027,578.3469945,580.8493151,609.630137,620,630,640,648.2465753,288,280,281,263,275,250,325,340,322,342,300,300,368,349,330,317,310,280.7923497,280,260,260,
